FIPS_master,State_master,DB:2009:percent,DB:2010:percent,TOT_POP,TOT_MALE,WAC_MALE,WAC_FEMALE,BAC_MALE,BAC_FEMALE,IAC_MALE,IAC_FEMALE,AAC_MALE,AAC_FEMALE,NAC_MALE,NAC_FEMALE,H_MALE,H_FEMALE,AgeGrp01:0-4:2010,AgeGrp02:5-9:2010,AgeGrp03:10-14:2010,AgeGrp04:15-19:2010,AgeGrp05:20-24:2010,AgeGrp06:25-29:2010,AgeGrp07:30-34:2010,AgeGrp08:35-39:2010,AgeGrp09:40-44:2010,AgeGrp10:45-49:2010,AgeGrp11:50-54:2010,AgeGrp12:55-59:2010,AgeGrp13:60-64:2010,AgeGrp14:65-69:2010,AgeGrp15:70-74:2010,AgeGrp16:75-79:2010,AgeGrp17:80-84:2010,AgeGrp18:85+:2010,UnemploymentRate:2010,PCT_LACCESS_POP10,FFRPTH09,Poverty_Rate_2010,LI:2009:percent,LI:2010:percent,OB:2009:percent,OB:2010:percent,Rural_percent_2010,Alcohol:Any:2010,Alcohol:Heavy:2010
30065,Montana,8.6,8.6,4538.0,2262.0,2224.0,2229.0,10.0,10.0,61.0,54.0,3.0,11.0,1.0,2.0,58.0,60.0,205.0,271.0,274.0,275.0,138.0,160.0,189.0,233.0,257.0,343.0,422.0,498.0,419.0,308.0,198.0,146.0,93.0,109.0,6.9,31.890331882760908,0.446627959,14.020755133583574,28.5,30.8,21.9,24.0,100.0,60.5,11.7
51630,Virginia,9.9,9.0,24286.0,11144.0,8109.0,9455.0,2826.0,3398.0,199.0,210.0,443.0,545.0,25.0,33.0,1369.0,1238.0,1590.0,1418.0,1083.0,2389.0,3948.0,2216.0,1592.0,1402.0,1330.0,1431.0,1322.0,1163.0,989.0,677.0,502.0,444.0,396.0,394.0,9.0,26.312731991426215,1.640378549,17.169601069757075,25.3,24.5,29.2,32.3,1.1652804084657826,51.6,9.3
48379,Texas,11.1,11.8,10914.0,5485.0,5260.0,5202.0,164.0,139.0,95.0,109.0,38.0,47.0,7.0,3.0,448.0,391.0,574.0,578.0,759.0,708.0,467.0,489.0,512.0,603.0,663.0,759.0,880.0,795.0,904.0,811.0,604.0,390.0,254.0,164.0,8.8,0.0,0.456370938,10.167143780589159,28.9,29.2,29.7,29.3,93.2288803371816,44.4,7.2
42085,Pennsylvania,12.0,12.0,116638.0,57106.0,53002.0,55865.0,4169.0,3695.0,323.0,300.0,437.0,533.0,39.0,35.0,694.0,554.0,5962.0,6705.0,7425.0,8724.0,7421.0,5731.0,5759.0,6496.0,7406.0,8514.0,9239.0,8534.0,7166.0,5768.0,4550.0,3953.0,3702.0,3583.0,9.5,14.100743922295479,0.616353924,13.246347127992248,25.2,27.0,30.1,30.9,44.48893156604194,54.5,6.6
27065,Minnesota,8.8,8.0,16239.0,8221.0,8119.0,7907.0,58.0,56.0,118.0,122.0,44.0,50.0,3.0,5.0,101.0,113.0,974.0,1113.0,1067.0,1103.0,709.0,896.0,868.0,970.0,985.0,1297.0,1373.0,1228.0,997.0,872.0,662.0,486.0,344.0,295.0,11.2,2.8564910941757806,0.42960599,13.116383058005216,22.4,23.9,28.8,26.4,77.40008621220518,54.0,8.0
35043,New Mexico,6.6,7.4,131561.0,64321.0,52914.0,54992.0,2134.0,2039.0,9475.0,10087.0,1411.0,1764.0,219.0,254.0,22489.0,23640.0,9081.0,9846.0,10218.0,9299.0,6943.0,7511.0,7960.0,8770.0,8789.0,10130.0,9982.0,9207.0,7945.0,5741.0,3749.0,2669.0,1906.0,1815.0,8.4,43.92712450469288,0.44966469,13.249523109098849,19.2,19.8,24.3,25.0,17.058246744856,58.3,7.5
54033,West Virginia,13.2,12.9,69099.0,33648.0,32746.0,34719.0,875.0,712.0,265.0,284.0,231.0,236.0,29.0,25.0,439.0,444.0,4027.0,4089.0,4239.0,4375.0,3474.0,4126.0,4112.0,4459.0,4491.0,5252.0,5413.0,5007.0,4627.0,3324.0,2621.0,2122.0,1714.0,1627.0,7.6,16.052390620796682,0.713287528,18.555714264677732,32.4,33.3,32.4,32.0,37.049740227789115,38.5,6.0
24047,Maryland,11.0,12.2,51454.0,25044.0,21380.0,22203.0,3518.0,4019.0,200.0,219.0,371.0,365.0,26.0,23.0,884.0,738.0,2324.0,2516.0,2724.0,2808.0,2499.0,2389.0,2289.0,2530.0,3216.0,3975.0,4024.0,4001.0,4198.0,3750.0,3024.0,2304.0,1594.0,1289.0,13.3,20.05855145038753,1.617523824,10.984578884934756,25.1,25.6,30.6,32.2,35.52687837680258,63.3,10.4
29073,Missouri,10.4,10.8,15222.0,7459.0,7401.0,7694.0,44.0,28.0,59.0,59.0,30.0,52.0,12.0,8.0,82.0,70.0,835.0,913.0,1002.0,948.0,706.0,741.0,737.0,805.0,925.0,1206.0,1250.0,1109.0,983.0,873.0,705.0,564.0,436.0,484.0,10.4,6.813391986159899,0.591949487,13.572975900352017,33.1,36.0,32.3,30.7,80.86979371961634,50.1,7.6
47163,Tennessee,13.9,14.6,156823.0,75826.0,73319.0,78621.0,2250.0,2042.0,664.0,609.0,531.0,650.0,45.0,55.0,1277.0,1044.0,8232.0,8734.0,9380.0,9678.0,8098.0,7890.0,8422.0,10105.0,10883.0,11912.0,12050.0,11493.0,10731.0,9220.0,7014.0,5255.0,4158.0,3568.0,9.0,37.35791095136632,0.957481441,16.86794024256936,30.5,34.4,34.6,33.0,25.56130159479158,33.2,4.6
